"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TCD89Y4B","conferencePaper","2022","Granieri, M.; Frederick, P.","A holistic tool for improving technology transfer offices’ performance","Int. J. Intellect Prop. Manage.","14789647 (ISSN)","","10.1504/ijipm.2022.127026","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85144421936&doi=10.1504%2fijipm.2022.127026&partnerID=40&md5=0cc65d553ed9d34615191720ef178ab3","Public-to-private technology transfer, featuring translational efforts from academia to market, does not achieve homogeneous results across the board. European universities and public research organisations (PROs) prove less performing than colleagues from the USA and this lag has been a major policy issue for European institutions in the last two decades, since R&D investments do not yield appropriate returns in terms of intellectual property, licenses and spin-out companies. Barriers to successful technology transfer are relevant and technology transfer offices (TTOs) as intermediaries in the technology market are underperforming. While studies have been conducted in technology management literature to identify barriers, so far there seems to be a lack of a holistic tool that help measure and improve TTO’s performance. In an effort to provide such tool, we use the CCODE® methodology and adapt it to TTOs. Based on an extensive literature review, we identify five factors that are generally considered determinants of the performance and develop what could be the basis for a diagnostic tool able to help single TTOs and their PROs identifying areas where changes could be made to improve their performance. Copyright © 2022 Inderscience Enterprises Ltd.","2022","2025-07-25 13:43:18","2025-07-25 13:43:18","","449-471","","","12","","","","","","","","Inderscience Publishers","","English","","","Scopus","","","","Issue: 4 Journal Abbreviation: Int. J. Intellect Prop. Manage.","","","","technology transfer; performance; best practices; capacity building; intellectual property management; public research organisations; technology transfer offices; TTOs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Journal of Intellectual Property Management","","","","","","","","","","","","","","",""
"Q26UKW3I","conferencePaper","2021","Leniston, N.; Mountford, N.","Born or made - Can interdisciplinary and intersectoral doctorate education create institutional entrepreneurs? A systematic review","Int. Conf. High. Educ. Adv.","26035871 (ISSN); 978-849048975-8 (ISBN)","","10.4995/HEAd21.2021.12960","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85128429324&doi=10.4995%2fHEAd21.2021.12960&partnerID=40&md5=0c0c4a4e722796a18b0b289558b2c6a5","Solving grand societal challenges such as equitable healthcare provision and climate change will require institutional entrepreneurs - people who can challenge prevailing regulations, behaviors, and ways of thinking. As the pinnacle of educational achievement, the doctoral degree should be the fire in which such fledgling institutional entrepreneurs are forged. Doctoral education has, however, been criticized as overspecialized and divorced from reality. We systematically review the doctoral education literature in our search for doctoral education programs that challenge institutional norms by bridging sectoral and disciplinary divides. We ask whether such programs can help to nurture institutionally entrepreneurial researchers. We find that students must manage ambiguous identities and wide networks but that such programs have the potential to equip them for both sense-making and sensegiving activities of institutional entrepreneurship. © 2021. International Conference on Higher Education Advances. All rights reserved.","2021","2025-07-25 13:43:18","2025-07-25 13:43:18","","791-798","","","","","","","","","","","Universidad Politecnica de Valencia.","","English","","","Scopus","","","","Journal Abbreviation: Int. Conf. High. Educ. Adv.","","","","Doctoral education; institutional entrepreneurship; interdisciplinary; intersectoral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Higher Education Advances","","","","","","","","","","","","","","",""
"8X6CXYLE","journalArticle","2021","Liu, X.; Yang, N.; Li, L.; Liu, Y.","Co-evolution of emerging economy MNEs and institutions: A literature review","International Business Review","","09695931 (ISSN)","10.1016/j.ibusrev.2021.101828","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85102042383&doi=10.1016%2fj.ibusrev.2021.101828&partnerID=40&md5=af848de7a2f5cb79011ce90eff92d594","This paper provides a review of the existing literature about the co-evolution of emerging economy multinational enterprises (EMNEs) and institutions and proposes directions for future study. We find that many existing studies involving the institution-EMNE relationship focus on the impact of institutions on EMNEs, and the research on their co-evolution is very limited in terms of emerging economies involved and theories and research methods applied. Given varieties of the institution-EMNE relationship we call for more studies by applying more contextualized theoretical perspectives and innovative and multiple research methods to advance our knowledge about the topic. © 2021 Elsevier Ltd","2021","2025-07-25 13:43:18","2025-07-26 14:40:15","","","","4","30","","Int. Bus. Rev.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","","","","Institutional entrepreneurship; Institutional work; Institutions; Co-evolution; Emerging economy MNEs (EMNEs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QIAIER2S","conferencePaper","2022","Manotungvorapun, N.; Gerdsri, N.","Systematic Approach Driving toward Effective University-Industry Collaboration (UIC)","PICMET - Portland Int. Conf. Manag. Eng. Technol.: Technol. Manag. Leadersh. Digit. Transform. - Look. Ahead Post-COVID Era, Proc.","978-189084341-0 (ISBN)","","10.23919/PICMET53225.2022.9882744","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85139129771&doi=10.23919%2fPICMET53225.2022.9882744&partnerID=40&md5=f41a9b45311957b9b6fbe76ad7765752","Universities are widely perceived as a source of state-of-the-art scientific knowledge and firms opt to work with them to advance their competitive advantages in innovation development. However, collaborations often meet unproductive performance and unsmooth interactions due to gaps in research capability, goals, and working protocols. To reduce the risks of deterioration in collaboration, executives need to foresee possible gaps in advance so that relevant solutions can be planned. This paper introduces the 3-phase analytical approach to manage the university-industry collaboration (UIC). The first phase involves assessing the matching quality of university partners. Next, the assessment result is diagnosed to detect the matching quality gaps. Then, the third phase applies the assessment results to 1.) position university partners into the proper mode of collaboration; Orchestrated collaboration, Assistive collaboration, Attentive collaboration and Mismatched collaboration, according to their complementarities and compatibilities and 2.) craft a strategic roadmap guiding the relationship development toward effective UIC with selected partners. This 3-phase approach helps managers realize possible difficulties and systematically prepare solutions in advance. © 2022 PICMET.","2022","2025-07-25 13:43:18","2025-07-25 13:43:18","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: PICMET - Portland Int. Conf. Manag. Eng. Technol.: Technol. Manag. Leadersh. Digit. Transform. - Look. Ahead Post-COVID Era, Proc.","","","","State of the art; University-industry collaboration; Competition; Competitive advantage; Performance; Analytical approach; Assistive; Deterioration; Matchings; Research capabilities; Scientific knowledge; Third phase","","Kocaoglu D.F.; Anderson T.R.; Kozanoglu D.C.; Niwa K.; Steenhuis H.-J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PICMET 2022 - Portland International Conference on Management of Engineering and Technology: Technology Management and Leadership in Digital Transformation - Looking Ahead to Post-COVID Era, Proceedings","","","","","","","","","","","","","","",""
"8WPWRLCH","conferencePaper","2022","Eaton, C.; Liverett, G.; Mesmer, B.","A PRELIMINARY REVIEW OF GUIDANCE FOR TECHNICAL MEASURE SELECTION IN ACADEMIC LITERATURE","ASEM Int. Annu. Conf. Proc.","979-898533342-8 (ISBN)","","","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85149167993&partnerID=40&md5=c6f1ec206570a011ac8aa5fadd7d6570","Using technical measures is almost unavoidable in large-scale complex engineered systems design. Technical measures play a critical role in design and management, where the set of technical measures is relied upon as an indicator of the project state for decision making, risk assessment, evaluation, and forecasting. Given the criticality of technical measures, it is important to know how to choose the “right” measures. This research answers the question: what guidance is published on how to select technical measures for the design of large-scale complex engineered systems in academic literature? A systematic review is performed, identifying relevant sources through a formalized process that includes all sources that satisfy predetermined inclusion criteria, rather than including sources that support a desired finding, resulting in evidence-based data to understand the current guidance for technical measures selection. One hundred ninety-eight guidance statements for selection for technical measures for the design of large-scale complex engineered systems are identified from the systematic review and analyzed via content analysis. It is identified that the current guidance for the selection of technical measures is high level, most often focusing on qualities that the measures should exhibit and identifying from where the measures are derived. Specific, practical guidance is lacking, leaving the selection of a critical piece of systems design largely up to the best judgment and experience of the systems engineer. The contribution of this research is an overview of published guidance for the selection of technical measures and identification of gaps in guidance that future research can address. Copyright, American Society for Engineering Management, 2022.","2022","2025-07-25 13:43:18","2025-07-25 13:43:18","","252-259","","","","","","","","","","","American Society for Engineering Management","","English","","","Scopus","","","","Journal Abbreviation: ASEM Int. Annu. Conf. Proc.","","","","Technology transfer; systematic review; Risk assessment; Decision making; Academic literature; Systematic Review; 'current; Complex engineered systems; Decisions makings; Large-scales; measurement; Risk evaluation; Risks assessments; Systems analysis; systems engineering; technical measurement; Technical measurements; Technical measures","","Natarajan G.; Ng E.H.; Katina P.F.; Zhang H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ASEM 43rd International Annual Conference Proceedings","","","","","","","","","","","","","","",""
"I7D6UUTW","journalArticle","2021","Cerver Romero, E.; Ferreira, J.J.M.; Fernandes, C.I.","The multiple faces of the entrepreneurial university: a review of the prevailing theoretical approaches","Journal of Technology Transfer","","08929912 (ISSN)","10.1007/s10961-020-09815-4","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85088869903&doi=10.1007%2fs10961-020-09815-4&partnerID=40&md5=f0d3b19a8cc3de57f9d5c1bc9189b2c1","The importance and the definition of an entrepreneurial university (EU), together with the factors that lead to its existence, have been widely discussed in the literature. Moreover, in recent years, the EU has also been the target of some public policies. This study aims to identify the different theoretical approaches to entrepreneurial universities prevalent in the literature. Using information from the Web of Science database, we performed a co-citation bibliometric analysis, which made it possible to identify six distinct EU approaches: the triple helix model, the knowledge society model, the global perspective, the researcher-entrepreneur model, the dual personality approach, and also a frenzied approach. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","2021","2025-07-25 13:43:18","2025-07-26 14:44:42","","1173-1195","","4","46","","J. Technol. Transf.","","","","","","","","English","","","Scopus","","","","Publisher: Springer","","","https://media.proquest.com/media/hms/PFT/1/9PiuJ?_a=ChgyMDI1MDcyNTEzNDY0NTU1ODo3MTM2OTcSBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0NyoFMjU5NTkyCjI1NTA5NDkzMTQ6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAyMS8wOC8wMXIKMjAyMS8wOC8zMXoAggEqUC0xMDAwMDAxLTE4NTI5MC1DVVNUT01FUi0xMDAwMDAwOC00ODkzMDE1kgEGT25saW5lygFvTW96aWxsYS81LjAgKFdpbmRvd3MgTlQgMTAuMDsgV2luNjQ7IHg2NCkgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEzOC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBToIDA1dlYooDHENJRDoyMDI1MDcyNTEzNDY0NTU1ODo0MTEwOTU%3D&_s=wvHvSxoLqbUaV8TkGrasno%2Fwk%2B8%3D","Technology transfer; Bibliometrics; Knowledge society; Knowledge transfer; Entrepreneurship; University spin-off; Bibliometric analysis; Entrepreneurial university; Web of Science; University; Triple helix; Cocitation; Global perspective; Theoretical approach; Triple helix models; Citation analysis; Technology: Comprehensive Works","Knowledge Transfer; Entrepreneurial University; Triple Helix; University Spin-Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQG4F65A","journalArticle","2020","Kim, D.; Olson, W.M.","Using a Transfer-Focused Writing Pedagogy to Improve Undergraduates' Lab Report Writing in Gateway Engineering Laboratory Courses","IEEE Transactions on Professional Communication","","03611434 (ISSN)","10.1109/TPC.2019.2961009","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85079600425&doi=10.1109%2fTPC.2019.2961009&partnerID=40&md5=43bb16a8d3885bfec9a049cf209ae4c9","Background: The lab report is a commonly assigned genre in engineering lab courses; however, students often have difficulties meeting the expectations of writing in engineering labs. At the same time, it is challenging for engineering faculty to instruct lab report writing because they are often under-supported in writing pedagogies and usually unfamiliar with the extent of students' prior writing knowledge. Literature review: Literature on technical communication in engineering addresses the importance of a rhetorical approach to writing instruction, as well as an emphasis on genre. Extending this literature, research into writing transfer provides valuable insight for better understanding how undergraduates negotiate the engineering lab report as a new genre within this distinct rhetorical context. Research questions: 1. How effective is a transfer-focused writing pedagogy in supporting students' understanding of the genre conventions of engineering lab reports? 2. How does the transfer-focused writing pedagogy impact students' writing quality in five categories (rhetorical knowledge, organization, evidence, critical thinking, and disciplinary conventions)? 3. What are the rhetorical features that engineering students improve or struggle with the most with lab report writing? Research methodology: Four engineering instructors and two English instructors participated in this study to design and develop the lab report writing instructional module, and implemented the module materials into their engineering lab courses. The module, consisting of lab report writing instruction and assessment resources, shares a rhetorical approach and foundational writing terms with first-year composition courses to emphasize a writing-transfer pedagogy. We collected and analyzed undergraduates' lab report samples to evaluate the impact of the module on students' writing performance. Two sets of lab reports were collected for analysis: the sample sets before (control), during the 2015-2016 academic year; and after (experimental) implementation of the module, during the 2016-2017 academic year. Results and conclusions: Data collected via pre- and post-implementation writing artifacts show that a rhetorical approach to teaching lab reports helped students better understand the expectations of the lab report as a discipline-specific genre, and it developed students' understanding of the rhetorical features of engineering writing. The pilot module positively impacted the quality of students' lab reports, a finding that suggests that using a transfer-focused writing pedagogy can successfully support the transfer and adaptation of writing knowledge into gateway or entry-level engineering laboratory courses. © 1988-2012 IEEE.","2020","2025-07-25 13:43:18","2025-07-25 13:43:18","","64-84","","1","63","","IEEE Trans Prof Commun","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","","","Engineering education; Students; Knowledge management; Knowledge transfer; Literature reviews; Curricula; Teaching; knowledge transfer; Engineering faculty; Engineering laboratories; Engineering laboratory report; engineering writing; Laboratory course; Report writing; Research laboratories; rhetorical knowledge; Rhetorical knowledge; Student writing; Technical writing; Writing instruction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9BV8JXTS","journalArticle","2021","Zmuidzinaite, R.; Zalgeviciene, S.; Uziene, L.","Factors influencing the performance of technology transfer offices: The case of the european consortium of innovative universities","Engineering Economics","","13922785 (ISSN)","10.5755/j01.ee.32.3.25785","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85110207773&doi=10.5755%2fj01.ee.32.3.25785&partnerID=40&md5=3be091de411531260fbd7be65957c2f9","Technology transfer offices (TTOs) play an important role in innovation ecosystems. There is a global strive to make these offices more efficient and improve their performance. This study aims to reason the key factors influencing the performance of TTOs at the members of the European Consortium of Innovative Universities (ECIU). To reach this aim, the comparative literature review of the factors influencing the performance of the TTOs was performed first. The survey along with the semi-structured interviews interviewing leaders of the TTOs with the aim to validate the relevance of the factors was conducted afterwards. The discussion on the key factors influencing the performance of TTOs at ECIU members is presented at the end of the study. The study reveals the following as the key factors influencing the performance of TTOs at the ECIU network: i) TTO strategy; ii) relationships with investors; iii) networking; iv) functioning of a special TTO unit dedicated to working with industry; and v) business experience of TTO staff. It also brings an extension to the technology transfer literature by discussing organizational issues of technology transfer in the European context. The study reveals that the key factors influencing the performance of TTOs at ECIU members are quite similar regardless of the age of TTOs or the country of operation. © 2021, Kauno Technologijos Universitetas. All rights reserved.","2021","2025-07-25 13:43:18","2025-07-25 13:43:18","","221-233","","3","32","","Eng. Econ.","","","","","","","","English","","","Scopus","","","","Publisher: Kauno Technologijos Universitetas","","","","Technology transfer; Technology transfer office; Performance; European consortium of innovative universities; Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9SNDQLT","conferencePaper","2022","Rusak, M.","Wooden churches, managers and Fulbright scholars: Glued laminated timber in 1950’s Norway","Hist. Constr. Cultures - Proc. Int. Cong. Constr. Hist.","978-103200199-9 (ISBN)","","10.1201/9781003173434-208","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85145496065&doi=10.1201%2f9781003173434-208&partnerID=40&md5=3f81ddb8a01ef86ac7a2b172d4bdd98f","The paper explores the introduction of glued laminated timber technology to the Norwegian construction market in the late 1950s. The paper concentrates on the activities of Norwegian construction conglomerate Moelven Brug, which in the 1950s brought back the production of laminated timber in Norway after 40 years of absence in the country. Building on the work of Norwegian glulam pioneer Guttorm Brekke (1885– 1980) and on state-of-the-art academic research and industry know-how from the United States of America, Sweden, and Belgium, in the post-war period Moelven Brug quickly established itself as the market leader for laminated timber in Norway. By mapping these scholarly and professional exchanges, the paper traces the shifting ontological understanding of timber in Norway from a “natural” to a “scientific” material and its transformation into a complex assemblage of different substances subject to control and standardization through a series of variables and parametric values. © 2021 the Author(s).","2022","2025-07-25 13:43:18","2025-07-25 13:43:18","","735-742","","","2","","","","","","","","CRC Press/Balkema","","English","","","Scopus","","","","Journal Abbreviation: Hist. Constr. Cultures - Proc. Int. Cong. Constr. Hist.","","","","State of the art; Technology transfer; Commerce; Academic research; Industrial research; Academic industry; Belgium; Construction markets; Glued-laminated timber; Glues; Gluing; Laminated timber; Laminating; On state; Timber; Timber technology; United States of America","","Mascarenhas-Mateus J.; Caiado M.M.; Veiga I.; Pires A.P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","History of Construction Cultures - Proceedings of the 7th International Congress on Construction History, 7ICCH 2021","","","","","","","","","","","","","","",""
"KKA74EYG","journalArticle","2021","Vasquez-Delsolar, M.; Merino, A.","Social enterprises towards a sustainable business system: A model of institutional dynamics","Environmental Innovation and Societal Transitions","","22104224 (ISSN)","10.1016/j.eist.2021.05.001","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85107126352&doi=10.1016%2fj.eist.2021.05.001&partnerID=40&md5=8fe4f55d80d371cacb5bf5d5e50c4cf0","Despite the growing interest of sustainability transition studies on the role of business actors in shaping transitions, the institutionalized logic of the capitalist enterprise underlying such agency has been overlooked. However, such logic might be understood as a dominant regime that leads to unsustainable systems. We intend to contribute to transitions research by focusing on the agency of social enterprises as non-dominant actors searching for challenging and transforming the institutionalized logics in the business system. Therefore, we disentangle the institutional mechanisms driven by social enterprises by proposing a theoretical model built upon a literature review of sustainability transitions from institutional perspectives, offering a set of explanatory propositions to allow empirical examination. Those mechanisms and propositions operate at three levels: inside the individual, inside the niche, and at the interplay between the niche and the business regime. Finally, we include a real-world example of a social enterprise to illustrate the model. © 2021 Elsevier B.V.","2021","2025-07-25 13:43:18","2025-07-26 14:38:02","","663-679","","","40","","Environmental Innovation and Societal Transitions","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier B.V.","","","","Institutional entrepreneurship; literature review; business; institutional framework; sustainability; Social enterprise; Agency; Business regime; Sustainability transitions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6Z2JI7Y","journalArticle","2020","Hamilton, C.; Philbin, S.P.","Knowledge based view of university tech transfer—a systematic literature review and meta-analysis","Administrative Sciences","","20763387 (ISSN)","10.3390/admsci10030062","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85118890245&doi=10.3390%2fadmsci10030062&partnerID=40&md5=e8ced6ea8966979046d4150a8110e04d","Research and technology commercialization at research-intensive universities has helped to develop provincial economies resulting in university startups, the growth of other new companies and associated employment. University technology transfer offices (TTOs) oversee the process of technology transfer into the commercial marketplace and these organizational units can be considered in the context of enabling effective knowledge management. However, what enables productive TTO performance has not been comprehensively researched. Therefore, this research study adopted the knowledge-based view as the theoretical construct to support a comprehensive investigation into this area. This was achieved through employing a systematic literature review (SLR) combined with a robust meta-analysis. The SLR identified an initial total of 10,126 articles in the first step of the review process, with 44 studies included in the quantitative synthesis, and 29 quantitative empirical studies selected for the meta-analysis. The research study identified that the relationship between TTO knowledge management and knowledge deployment as well as startup business performance is where TTOs secure the strongest returns. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","2020","2025-07-25 13:43:18","2025-07-26 14:51:28","","","","3","10","","Adm. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: MDPI","","","https://media.proquest.com/media/hms/PFT/1/H3bDH?_a=ChgyMDI1MDcyNTEzNDY0NTU1ODo3MTM2OTcSBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0NyoHMjAzMjQ0MzIKMjQ0MDQwMTM2MDoNRG9jdW1lbnRJbWFnZUIBMFIGT25saW5lWgJGVGIDUEZUagoyMDIwLzAxLzAxcgoyMDIwLzEyLzMxegCCASpQLTEwMDAwMDEtMTg1MjkwLUNVU1RPTUVSLTEwMDAwMDA4LTQ4OTMwMTWSAQZPbmxpbmXKAW9Nb3ppbGxhLzUuMCAoV2luZG93cyBOVCAxMC4wOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTM4LjAuMC4wIFNhZmFyaS81MzcuMzbSARJTY2hvbGFybHkgSm91cm5hbHOaAgdQcmVQYWlkqgIrT1M6RU1TLU1lZGlhTGlua3NTZXJ2aWNlLWdldE1lZGlhVXJsRm9ySXRlbcoCD0FydGljbGV8RmVhdHVyZdICAVnyAgD6AgFZggMDV2ViigMcQ0lEOjIwMjUwNzI1MTM0NjQ1NTU4OjQxMTA5NQ%3D%3D&_s=H5IDAKArZ7%2FvKYS8noySNzXAV7E%3D","Technology transfer; Systematic review; Knowledge management; Literature reviews; Entrepreneurship; Intellectual property; technology transfer; Competition; Collaboration; Project management; University; Industrial research; Commercialization; Patent licensing; Technology commercialization; Meta-analysis; Technological change; Knowledge acquisition; Competitive advantage; Knowledge-based view (KBV); Systematic literature review (SLR); University technology transfer; Social capital; Strategic management; university technology transfer; Researchers; Business And Economics--Management; Entrepreneurs; Innovations; Human capital; Spinoffs; Research & development--R&D; United States--US; Corporate culture; United Kingdom--UK; Inventions; Business education relationship; Case studies; Family owned businesses; Intangible assets; knowledge-based view (KBV); Licenses; patent licensing; systematic literature review (SLR); Technological planning; technology commercialization; TECHNOLOGY transfer; KNOWLEDGE management; META-analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPNRBSK9","conferencePaper","2021","Pacheco, A.; Fernandes, C.; Ferreira, J.; Simões, J.","The entrepreneurial university and innovation: A systematic literature review","Proc. Eur. Conf. Innov. Entrepren., ECIE","20491050 (ISSN); 978-191458710-8 (ISBN)","","10.34190/EIE.21.088","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85121606664&doi=10.34190%2fEIE.21.088&partnerID=40&md5=dc8b32e0cd3ea41b1a5e0d1590e0f8d5","Since their inception, universities have played an important role in economies, however, over the years, many factors have led to changes in their structures and missions. Consequently, the methodology of this study had as its main objective to carry out a systematic review of the literature to evaluate the research carried out on the relationship between entrepreneurial universities (EU) and innovation, updated, with the intention of contributing to the systematization of the main areas of research on this theme. To this end, a search was conducted in ISI/Web of Science, on entrepreneurial universities and innovation. From this search, we identified clusters and it allowed us to reach our results, bringing our contributions, grouping the literature into three major areas: innovation, entrepreneurial universities, knowledge transfer and academic spin-offs; innovation, entrepreneurial universities and academic entrepreneurship; innovation, entrepreneurial universities and triple helix model. © 2021, Academic Conferences and Publishing International Limited. All rights reserved.","2021","2025-07-25 13:43:18","2025-07-25 13:43:18","","683-691","","","","","","","","","","","Academic Conferences and Publishing International Limited","","English","","","Scopus","","","","Journal Abbreviation: Proc. Eur. Conf. Innov. Entrepren., ECIE","","","","Innovation; Knowledge management; Knowledge transfer; Academic entrepreneurship; Entrepreneurial university; Systematic literature review; Web of Science; Systematic Review; Academic spin-offs; Triple helix models; Systematisation; Triple helix model","","Matos F.; Ferreiro M.D.F.; Salavisa I.; Rosa A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the European Conference on Innovation and Entrepreneurship, ECIE","","","","","","","","","","","","","","",""
"RU6QRLBG","conferencePaper","2021","Cannard, S.; Coleman, J.; Chantrell, J.; Steinerts, P.; Nichols, H.; Sayers, R.; Hosszu, K.; Kavanagh, N.; Gillet, G.","Australian Remote Operations Capability Report","Proc. Int. Astronaut. Congr., IAC","00741795 (ISSN); 978-171384305-4 (ISBN)","","","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85127447172&partnerID=40&md5=d37cf6afa12fe48168a27fc77928c326","Australia is a world leader in the development and application of Remote Operations technology at an industrial scale. The Australian Remote Operations for Space and Earth consortium (AROSE) undertook an in-depth national review of advanced technology, capabilities and processes in the field of Remote Operations. The study included applications across many industry sectors including Agriculture, Defence, Health Services, Manufacturing, Resources (Mining and Energy), and Space. The aim of this multilateral capability study was to support the growing Australian Space industry to solve common Space exploration challenges utilising Australia's world leading Remote Operations. This paper provides an independent capability baseline to catalyse cross industry growth in Remote Operations. The report outcomes will facilitate technology transfer and collaboration between traditional sectors and the burgeoning Australian Space industry. This paper was developed in collaboration with leading industry and academic experts in Agriculture, Defence, Health Services, Resources (Mining and Energy), and Space industries, who either utilise or supply Remote Operations capabilities and/or enabling technologies. Our methods included, but are not limited to, stakeholder interviews, consultation with subject matter experts, literature reviews, and the aggregation of public data. It was clear from this capability study that end-to-end Remote Operations in Australia is world-leading and cuts heavily across multiple major sectors to improve safety, reliability, productivity, and sustainability. Fundamentally, the same challenges faced by many of the sectors, particularly Mining and Energy, are mirrored by the Space industry for missions focused on foundational and construction services, exploration and excavation, and In-Situ-Resource-Utilisation (ISRU). Solving these cross-sector challenges through multi-lateral collaborations will enable a broader impact on complementary industrial sectors and Australia's Space industry. This Remote Operations capability study significantly improved the understanding of current capability in Australia and the spin-in/spin-out opportunity for Space operations. The report identifies the benefits and emerging challenges for industry in the field of Remote Operations and identifies the opportunities for, and from, collaborative Space exploration activities. Copyright © 2021 Australian Remote Operations for Space & Earth (AROSE). All rights reserved.","2021","2025-07-25 13:43:18","2025-07-25 13:43:18","","","","","B5","","","","","","","","International Astronautical Federation, IAF","","English","","","Scopus","","","","Journal Abbreviation: Proc. Int. Astronaut. Congr., IAC","","","","Technology transfer; Australia; Space industry; Agriculture; Development and applications; Earth (planet); Energy; Health services; Operations capability; Remote operation; Resources minings; Space explorations; Space research; World leaders","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the International Astronautical Congress, IAC","","","","","","","","","","","","","","",""
